printer_id,cartridges
400000028664,"400000028665,400000028666,400000030576,400000028667,400000028668"
400000032673,"400000031938,400000032575,400000031939,400000031936,400000031937,400000032555"
400000033274,
400000026864,"400000030449,400000014980,400000030448,400000023982"
400000026331,"400000009942,400000020385,200000001990,400000002721,400000029971,400000008839"
400000026595,"400000015579,400000026129,400000004003,400000030274,400000030363,400000006930"
400000033522,
400000026865,"400000030449,400000014980,400000030448,400000023982"
400000026807,"400000030465,400000026134,400000022914"
400000032379,"400000033786,400000033784,400000033785,400000033787"
400000032465,"400000031828,400000031827,400000031829,400000031826"
400000031042,
400000033473,
400000029035,400000030553
400000027764,"400000030574,400000027164,400000027163,400000027162,400000027165"
400000026467,"400000005168,400000011519,200000000402,400000013234,400000011518,400000013499,400000012388"
400000026911,"400000029756,400000026910"
400000033790,
400000033744,400000033642
400000026566,400000030261
400000026158,"400000020053,400000004753,400000030421"
400000026152,"400000022274,400000004752,200000005507"
400000026749,"400000012991,400000007100,400000023775"
400000026837,"400000030444,400000030445,400000015226"
400000033408,
400000026458,"400000030377,400000026459,400000030376"
400000031043,
400000026338,"400000030492,400000026336"
400000028584,"400000030513,400000012388,400000013499,400000013234"
400000032388,
400000028968,"400000024237,400000030506"
400000008196,"400000030416,400000026253"
400000026556,"400000015124,400000023293,400000018132,400000026131,400000030390,400000015580"
400000033300,
400000026560,"400000030487,400000026562"
400000027908,"400000015968,400000016596,400000030566,400000016081,400000016957,400000016080"
400000026238,"400000026135,400000030408,400000024266"
400000026554,"400000015223,400000030202,400000026131,400000015221"
400000026797,"400000026799,400000030542"
400000032455,"400000029630,400000031863,400000032152,400000031860,400000031861,400000031862,400000032153"
400000032380,"400000033786,400000033784,400000033785,400000033787"
400000032429,
400000032472,"400000031828,400000031827,400000031829,400000031826"
400000031005,"400000030922,400000031065,400000030924,400000030978,400000030923"
400000026247,"400000026248,400000026250,400000026246,400000030414"
400000033535,
400000028977,"400000027203,400000027202,400000030159,400000029970"
400000027207,"400000027203,400000027202,400000030159,400000029970"
400000029755,"400000029754,400000027306"
400000029052,"400000030356,400000014452,400000030355,400000016954"
400000032661,
400000032659,
400000033491,
400000028467,"400000030362,400000020142,400000028349"
400000026391,"400000005340,200000001172,200000000410,400000006296,400000018339"
400000029024,"400000029023,400000030602,400000029021,400000029020,400000029022"
400000028797,"400000015579,400000026129,400000014786,400000026499,400000014981,400000030514"
400000026424,"400000030270,400000004892,400000026727,400000012250,200000001808"
400000031000,"400000030922,400000031065,400000030924,400000030978,400000030923"
400000028012,"400000020697,400000030496,400000020698,400000020699,400000021219,400000030597"
400000026671,"400000026132,400000012655,200000003197"
400000032400,"400000030968,400000030969,400000030967,400000030966"
400000026874,"400000030464,400000025992"
400000033755,400000033642
