printer_id,parts
400000027105,"400000017602,400000014883,400000012999,400000030021,400000030165,400000009850"
400000026334,
400000027871,"400000029033,400000011107,400000022933,400000016908,400000016907"
400000032672,"400000031851,400000033246,400000033247,400000032562,400000032574,400000033704,400000031853,400000033245,400000032567,400000031850,400000031852"
400000026361,
400000033258,"400000033194,400000033193,400000033195"
400000029791,
400000029774,"400000024601,400000024174,400000024602"
400000028930,400000023607
400000026567,
400000026541,"400000015038,400000022452"
400000028779,"400000016908,400000016907,400000029033"
400000030001,
400000026417,400000015958
400000026809,400000021215
400000033427,
400000026239,"400000024601,400000024174,400000024602"
400000028945,400000027142
400000033660,400000033573
400000033437,
400000032399,"400000032703,400000032578,400000031849,400000033545,400000032701,400000032565,400000032561,400000032517,400000032581,400000031459,400000032627,400000032579,400000032563,400000032566,400000033575,400000033573,400000032564,400000031847,400000032556,400000032516,400000032580,400000032702,400000031846,400000032868,400000031848,400000032940"
400000026342,400000026704
400000029462,"400000027146,200000001644"
400000028757,"400000015427,400000022933,400000030612"
400000032403,"400000032108,400000031941,400000031836,400000032872,400000032121,400000032150,400000031839,400000032576,400000032874,400000031837,400000032109,400000031973,400000031943,400000032581,400000031940,400000031942,400000032003,400000032557,400000031844,400000031840,400000031575,400000031574,400000033573,400000032104,400000031838,400000032873,400000032577,400000032875,400000032516,400000031843,400000031573,400000031972,400000032151,400000031841,400000031971,400000032002,400000031842,400000031576,400000031975,400000032107,400000033704,400000031854,400000031974,400000032149"
400000033404,
400000033745,400000032005
400000033173,"400000032516,400000032581"
400000026269,"400000030651,400000030648,400000033383,400000024174,400000030649,400000017716,400000030650,400000024601,400000030647,400000030652"
400000028892,"400000017602,400000030017,400000014883,400000030165,400000009850"
400000032412,"400000032108,400000032121,400000031838,400000032577,400000032516,400000032104,400000032107,400000032581,400000032149"
400000026599,"400000017602,400000030017,400000022453,400000030632,400000014883,400000012999,400000030165,400000030021,400000030314,400000030312,400000009850"
400000026553,"400000021214,400000013502,400000030636,400000002831,400000015958,400000030165"
400000032682,400000030896
400000031076,"400000030894,400000031364,400000030895,400000031615,400000031428,400000033730,400000031817,400000033724"
400000028658,"400000029033,400000026157,400000022933,400000016908,400000016907"
400000030992,"400000033575,400000031460,400000033196,400000033573"
400000026576,"200000001820,400000015038"
400000026631,"400000017602,400000030017,400000030165,400000009850"
400000028171,400000033101
400000032408,"400000032108,400000032151,400000032121,400000031838,400000032577,400000033573,400000032516,400000032104,400000032107,400000033704,400000032581,400000032149"
400000028544,"400000021214,400000002831,400000013502,400000015958"
400000029786,
400000026418,"400000010374,400000033095,400000002831,400000015958,400000011757"
400000026165,
400000033280,400000033194
400000033792,400000033698
400000032414,"400000032908,400000031824,400000033700,400000031867,400000031615,400000032173,400000031868,400000031932,400000033724"
400000033532,
400000026641,"400000030311,400000021558,400000029976,400000033101,400000029977,400000024837,400000026019,400000029975"
400000026899,"400000010567,400000021215"
400000028975,400000023565
400000032397,"400000030670,400000030974,400000033701,400000031615,400000031931,400000033188,400000031819,400000033185,400000033724,400000031929,400000031431,400000031115,400000031871,400000033700,400000033730,400000033187,400000032838,400000030671,400000031469,400000032259,400000033346,400000031820,400000030672,400000030975,400000030673,400000033189,400000033729,400000033182,400000033725,400000033192,400000033241,400000033720,400000033186,400000033191"
400000026975,400000022363
400000026974,
400000033420,
400000031045,"400000032570,400000030898,400000030894,400000030895,400000030896"
400000026629,"400000017602,400000033101,400000030017,400000030632,400000014883,400000012999,400000030165,400000030021,400000030314,400000030022,400000009850"
400000026552,"400000021214,400000013502,400000030636,400000002831,400000015958,400000030165"
400000029512,400000025306
400000029724,
