printer_id,cartridges,parts
400000031019,,"400000030887,400000030894,400000030907,400000032570,400000030897,400000030886,400000031615"
400000032458,400000031360,"400000031932,400000030894,400000031923,400000031615,400000032908"
400000032637,"400000031936,400000031937,400000031939,400000031938","400000031852,400000033245,400000032574,400000033246,400000031850,400000032562,400000033247,400000031851,400000031853"
400000028891,,"400000009850,400000030017,400000014883,400000030165"
400000026258,,"400000024174,400000024601"
400000028802,,"400000030017,400000030314,400000009850"
400000033808,"400000032444,400000032443","400000032447,400000032449,400000033704,400000032448,400000032450"
400000033271,,400000033194
400000026243,400000025325,"400000024174,400000024601"
400000028367,400000013499,"400000009229,400000002831,400000016407"
400000026875,,"400000030019,400000021245"
400000028829,400000027258,"400000030635,400000027144,400000025158,400000030344"
400000029038,,"400000016908,400000026157"
400000028853,,"400000014982,400000021215"
400000026967,400000015224,
400000033152,,"400000031838,400000032581,400000032121,400000032516,400000033573,400000032577,400000032104"
400000026375,,400000024601
400000028889,,"400000009850,400000030017,400000014883,400000030165"
400000028952,400000028961,400000025926
400000032305,"400000031668,400000032840,400000032842,400000030962,400000031873,400000032839,400000032841","400000032581,400000031846,400000033545,400000032565,400000032578,400000032940,400000031985,400000032868,400000032580,400000032566,400000033573,400000031847,400000031987,400000031986,400000033575,400000031984,400000032516,400000032579,400000032517,400000031848,400000032556,400000031849,400000032563"
400000025770,400000024360,"400000030648,400000024602,400000024601,400000033383,400000024174"
400000026620,"400000013848,400000026130,400000015579","400000009850,400000030017,400000030314,400000014883,400000030165,400000030021,400000012999"
400000026586,400000026587,
400000026961,,400000007891
400000028460,,400000002831
400000032358,,"400000032106,400000032570,400000031087,400000031615,400000030894,400000031222,400000030946,400000030896,400000030897,400000031673,400000016173,400000021871,400000031520,400000032500,400000030947,400000032105,400000031612,400000032569,400000032568"
400000026624,"400000014786,400000015579","400000009850,400000030017,400000030314,400000014883,400000030165,400000033101,400000030021,400000012999"
400000028070,400000024237,"400000023678,400000030642"
400000028959,400000028961,400000025926
400000033444,,400000030896
400000033407,,400000030896
400000026805,,"400000024056,400000016877,400000030639"
400000032455,"400000031862,400000029630,400000031860,400000032153,400000031863","400000031116,400000032570,400000030897,400000031104,400000031433,400000021871"
400000032680,"400000031113,400000031111,400000031114",
400000029516,,"400000024343,400000024345,400000024344,400000024346"
400000033810,"400000032444,400000032443","400000032447,400000032449,400000033704,400000032448,400000032450"
400000033204,"400000032292,400000031352,400000031351","400000033240,400000031422,400000031420,400000033703,400000031871,400000033722,400000031471,400000033182,400000031931,400000033184,400000031115,400000031470,400000033713,400000031802,400000033181,400000033723,400000031435"
400000026706,,400000016210
400000032403,"400000031438,400000031935,400000032976,400000031442,400000031439,400000031444,400000031440,400000032977,400000031441,400000031437,400000031443,400000032975,400000032348,400000032974","400000031837,400000032581,400000031840,400000031575,400000031974,400000031971,400000031844,400000032104,400000031836,400000032108,400000031838,400000032003,400000032557,400000031841,400000032873,400000031842,400000031843,400000031940,400000033704,400000031972,400000033573,400000032577,400000031839,400000032002,400000032516,400000032874,400000031973,400000032576,400000032150,400000032872,400000031576,400000032121,400000032875,400000031975,400000032151,400000031574"
400000033761,"400000033691,400000033690,400000033689,400000033692",400000033698
400000026369,400000016149,400000025387
400000033659,,400000033573
400000026403,"400000012992,200000000724","400000021214,400000002831,400000033095"
400000028834,,"400000030635,400000025158"
400000033128,"400000031936,400000031937,400000031939,400000031938","400000031852,400000033245,400000032574,400000031850,400000033247,400000031851,400000031853"
400000033417,,400000030896
400000026964,,400000007891
400000030719,400000033051,"400000030887,400000030894,400000031222,400000030907,400000031609,400000031364,400000030886,400000031615"
400000026640,400000025991,"400000029975,400000029976,400000024837,400000033101,400000030311,400000026019,400000021558,400000029977"
400000026505,400000013499,"400000009229,400000002831,400000021723,400000021558,400000016407"
400000031009,400000033051,"400000030887,400000030894,400000030907,400000031609,400000031364,400000030886,400000031615"
400000026510,,400000020431
400000033821,,400000032908
400000028817,,"400000027144,400000025158,400000024837,400000030635,400000021558"
400000028463,,400000002831
400000032380,"400000033785,400000033784,400000033786,400000033787","400000032570,400000031611,400000031615,400000030894,400000031222,400000030946,400000030896,400000030897,400000030945,400000016173,400000021871,400000031520,400000032500,400000031920,400000032569,400000032568"
400000029498,,400000009229
400000026877,,"400000030019,400000021245"
400000027274,400000018695,400000023678
400000029032,,400000002803
400000026594,400000015579,"400000009850,400000033099,400000030017,400000030314,400000014883,400000030165,400000021698,400000030021,400000012999,400000022453"
400000028875,,400000016877
400000031030,"400000032292,400000031352,400000031351","400000033240,400000033346,400000030973,400000033728,400000031516,400000031346,400000033180,400000031422,400000033632,400000031420,400000032259,400000033703,400000031871,400000033722,400000031471,400000033182,400000033633,400000031518,400000032870,400000031931,400000033636,400000033721,400000033184,400000031929,400000031115,400000031470,400000033720,400000033713,400000031802,400000031515,400000033635,400000033181,400000033723,400000031435"
400000033468,,400000030896
400000028796,400000015579,"400000009850,400000014883,400000030165,400000030021,400000012999"
400000027801,"400000032753,400000032752,400000032755,400000032754","400000015427,400000022933,400000030612"
400000028764,,"400000026157,400000022933,400000015427"
400000028023,,"400000015020,400000016322,400000016325,400000015018,400000015019,400000016323,400000016324"
400000026420,400000012250,"400000002831,400000033095"
400000029507,,400000021560
400000032385,,"400000030894,400000030947,400000031222,400000032570,400000031613,400000031427,400000030896,400000031684,400000030897,400000032568,400000031615,400000021871"
400000027263,400000018136,
400000026603,"400000013848,400000026130,400000015579","400000009850,400000030017,400000030314,400000014883,400000030165,400000030021,400000012999,400000022453"
400000028030,,"400000016912,400000016911,400000016913,400000012701"
400000027245,"400000022692,400000022693,400000020452,400000022694","400000024174,400000024602,400000024601"
400000026451,400000026217,"400000030345,400000026018"
400000028804,,"400000030017,400000030314,400000009850"
